round,average,Dif avg,max,Dif Max,min,Dif Min,dateStart,dateEnd,diffTime,lenght
1,854815.3673,,854867.27,,854762.82,,2020-07-08T08:22:20.348Z,2020-07-08T10:06:50.209Z,104.4976833,200
2,854909.2968,93.9295,854939.46,72.19,854867.77,104.95,2020-07-08T10:07:20.236Z,2020-07-08T11:48:20.114Z,100.9979667,200
3,854961.7173,52.4206,854981.39,41.93,854939.7,71.93,2020-07-08T11:48:50.085Z,2020-07-08T13:29:49.999Z,100.9985667,200
4,854992.891,31.17365,855001.55,20.16,854981.56,41.86,2020-07-08T13:30:19.963Z,2020-07-08T15:10:19.840Z,99.99795,200
5,855005.9058,13.0148,855008.32,6.77,855001.63,20.07,2020-07-08T15:10:49.841Z,2020-07-08T16:50:19.726Z,99.49808333,200
6,855010.5257,4.619949999,855012.71,4.39,855008.35,6.72,2020-07-08T16:50:49.731Z,2020-07-08T18:30:19.609Z,99.49796667,200
7,855014.9384,4.412600001,855017.21,4.5,855012.73,4.38,2020-07-08T18:30:49.589Z,2020-07-08T20:12:49.473Z,101.9980667,200
8,855019.4204,4.482099999,855021.61,4.4,855017.23,4.5,2020-07-08T20:13:19.448Z,2020-07-08T21:52:49.359Z,99.49851667,200
9,855032.8341,13.4137,855063.42,41.81,855021.63,4.4,2020-07-08T21:53:19.339Z,2020-07-08T23:32:49.247Z,99.49846667,200
10,855106.2575,73.4233,855149,85.58,855063.84,42.21,2020-07-08T23:33:19.225Z,2020-07-09T01:12:49.119Z,99.49823333,200
11,855192.9225,86.66505,855237.54,88.54,855149.44,85.6,2020-07-09T01:13:19.098Z,2020-07-09T02:52:48.995Z,99.49828333,200
12,855282.3082,89.3857,855328.53,90.99,855237.97,88.53,2020-07-09T02:53:18.999Z,2020-07-09T04:32:48.863Z,99.49773333,200
13,855372.4451,90.13695,855415.67,87.14,855328.96,90.99,2020-07-09T04:33:18.856Z,2020-07-09T06:13:48.712Z,100.4976,200
14,855459.1339,86.68875,855502.12,86.45,855416.1,87.14,2020-07-09T06:14:18.702Z,2020-07-09T07:53:48.618Z,99.4986,200
15,855545.9012,86.7673,855589.16,87.04,855502.55,86.45,2020-07-09T07:54:18.618Z,2020-07-09T09:34:18.506Z,99.99813333,200
16,855632.356,86.4548,855672.28,83.12,855589.59,87.04,2020-07-09T09:34:48.470Z,2020-07-09T11:14:18.376Z,99.49843333,200
17,855702.6661,70.3101,855733.85,61.57,855672.59,83,2020-07-09T11:14:48.369Z,2020-07-09T12:54:48.259Z,99.99816667,200
18,855757.4711,54.805,855776.74,42.89,855734.17,61.58,2020-07-09T12:55:18.206Z,2020-07-09T14:34:48.069Z,99.49771667,200
19,855785.0021,27.53095,855792.94,16.2,855776.82,42.65,2020-07-09T14:35:18.114Z,2020-07-09T16:15:18.009Z,99.99825,200
20,855795.1834,10.1814,855797.4,4.46,855792.96,16.14,2020-07-09T16:15:48.004Z,2020-07-09T17:55:17.849Z,99.49741667,200
21,855799.6328,4.4494,855801.84,4.44,855797.42,4.46,2020-07-09T17:55:47.851Z,2020-07-09T19:35:17.714Z,99.49771667,200
22,855804.0326,4.399700001,855806.2,4.36,855801.86,4.44,2020-07-09T19:35:47.741Z,2020-07-09T21:15:17.620Z,99.49798333,200
23,855810.5071,6.4745,855828.57,22.37,855806.22,4.36,2020-07-09T21:15:47.599Z,2020-07-09T22:55:17.493Z,99.49823333,200
24,855871.6806,61.17355,855914.44,85.87,855828.99,22.77,2020-07-09T22:55:47.503Z,2020-07-10T00:35:47.357Z,99.99756667,200
25,855958.3307,86.65005,856001.45,87.01,855914.87,85.88,2020-07-10T00:36:17.360Z,2020-07-10T02:17:17.222Z,100.9977,200
26,856044.0727,85.74205,856086.14,84.69,856001.88,87.01,2020-07-10T02:17:47.233Z,2020-07-10T03:57:17.117Z,99.49806667,200
27,856129.1657,85.093,856171.74,85.6,856086.56,84.68,2020-07-10T03:57:47.125Z,2020-07-10T05:37:17.022Z,99.49828333,200
28,856214.596,85.43035,856257.39,85.65,856172.16,85.6,2020-07-10T05:37:47.002Z,2020-07-10T07:17:16.883Z,99.49801667,200
29,856310.2881,95.6921,856356.4,99.01,856257.83,85.67,2020-07-10T07:17:46.882Z,2020-07-10T09:12:16.723Z,114.49735,200
30,856399.2503,88.9621,856441,84.6,856356.83,99,2020-07-10T09:12:46.741Z,2020-07-10T10:52:16.620Z,99.49798333,200
31,856480.6827,81.4324,856518.93,77.93,856441.42,84.59,2020-07-10T10:52:46.602Z,2020-07-10T12:33:16.470Z,100.4978,200
32,856552.9021,72.2195,856579.1,60.17,856519.31,77.89,2020-07-10T12:33:46.491Z,2020-07-10T14:13:46.377Z,99.9981,200
33,856582.1717,29.2695,856584.44,5.34,856579.17,59.86,2020-07-10T14:14:16.334Z,2020-07-10T15:53:46.211Z,99.49795,200
34,856586.6718,4.5001,856588.87,4.43,856584.46,5.29,2020-07-10T15:54:16.254Z,2020-07-10T17:33:46.139Z,99.49808333,200
35,856690.8649,104.1931,856751.11,162.24,856588.89,4.43,2020-07-10T17:34:16.113Z,2020-07-11T09:59:17.762Z,985.0274833,200
36,856763.814,72.9491,856774.47,23.36,856751.24,162.35,2020-07-11T09:59:47.763Z,2020-07-11T11:39:17.622Z,99.49765,200
37,856781.2115,17.39755,856786.41,11.94,856774.54,23.3,2020-07-11T11:39:47.602Z,2020-07-11T13:19:17.486Z,99.49806667,200
38,856788.4954,7.283850001,856790.55,4.14,856786.43,11.89,2020-07-11T13:19:47.487Z,2020-07-11T14:59:17.372Z,99.49808333,200
39,856792.5957,4.1003,856794.62,4.07,856790.57,4.14,2020-07-11T14:59:47.359Z,2020-07-11T16:39:17.260Z,99.49835,200
40,856796.6751,4.079499999,856798.72,4.1,856794.64,4.07,2020-07-11T16:39:47.246Z,2020-07-11T18:19:17.131Z,99.49808333,200
41,856800.8564,4.181200001,856802.94,4.22,856798.74,4.1,2020-07-11T18:19:47.139Z,2020-07-11T20:01:47.007Z,101.9978,200
42,856805.0201,4.163749999,856807.1,4.16,856802.96,4.22,2020-07-11T20:02:16.983Z,2020-07-11T21:42:16.878Z,99.99825,200
43,856809.4557,4.435600001,856813.43,6.33,856807.12,4.16,2020-07-11T21:42:46.901Z,2020-07-11T23:22:46.766Z,99.99775,200
44,856820.2571,10.80145,856827.01,13.58,856813.5,6.38,2020-07-11T23:23:16.779Z,2020-07-12T01:02:46.655Z,99.49793333,200
45,856833.8031,13.546,856840.35,13.34,856827.08,13.58,2020-07-12T01:03:16.663Z,2020-07-12T02:43:16.507Z,99.9974,200
46,856849.9287,16.12555,856861.85,21.5,856840.41,13.33,2020-07-12T02:43:46.534Z,2020-07-12T04:23:16.393Z,99.49765,200
47,856967.1068,117.17815,857010.81,148.96,856861.97,21.56,2020-07-12T04:23:46.386Z,2020-07-12T16:03:45.534Z,699.9858,200
48,857012.5685,45.4616,857014.3,3.49,857010.83,148.86,2020-07-12T16:04:15.534Z,2020-07-12T17:43:45.412Z,99.49796667,200
