round,average,max,min,dateStart,dateEnd,diffTime,lenght
1,854788.6049,854816.47,854762.82,2020-07-08T08:22:20.348Z,2020-07-08T09:15:50.269Z,53.49868333,200
2,854842.1296,854867.27,854816.97,2020-07-08T09:16:20.270Z,2020-07-08T10:06:50.209Z,50.49898333,200
3,854891.5431,854913.34,854867.77,2020-07-08T10:07:20.236Z,2020-07-08T10:56:50.151Z,49.49858333,200
4,854927.0504,854939.46,854913.75,2020-07-08T10:57:20.162Z,2020-07-08T11:48:20.114Z,50.9992,200
5,854950.9719,854962.2,854939.7,2020-07-08T11:48:50.085Z,2020-07-08T12:39:50.033Z,50.99913333,200
6,854972.4628,854981.39,854962.42,2020-07-08T12:40:20.027Z,2020-07-08T13:29:49.999Z,49.49953333,200
7,854988.2999,854993.33,854981.56,2020-07-08T13:30:19.963Z,2020-07-08T14:20:19.915Z,49.9992,200
8,854997.4821,855001.55,854993.41,2020-07-08T14:20:49.920Z,2020-07-08T15:10:19.840Z,49.49866667,200
9,855004.5775,855006.12,855001.63,2020-07-08T15:10:49.841Z,2020-07-08T16:00:19.786Z,49.49908333,200
10,855007.2341,855008.32,855006.14,2020-07-08T16:00:49.785Z,2020-07-08T16:50:19.726Z,49.49901667,200
11,855009.4294,855010.51,855008.35,2020-07-08T16:50:49.731Z,2020-07-08T17:40:19.663Z,49.49886667,200
12,855011.6221,855012.71,855010.54,2020-07-08T17:40:49.665Z,2020-07-08T18:30:19.609Z,49.49906667,200
13,855013.8228,855014.91,855012.73,2020-07-08T18:30:49.589Z,2020-07-08T19:20:49.499Z,49.9985,200
14,855016.0539,855017.21,855014.94,2020-07-08T19:21:19.539Z,2020-07-08T20:12:49.473Z,51.4989,200
15,855018.321,855019.41,855017.23,2020-07-08T20:13:19.448Z,2020-07-08T21:02:49.439Z,49.49985,200
16,855020.5199,855021.61,855019.44,2020-07-08T21:03:19.445Z,2020-07-08T21:52:49.359Z,49.49856667,200
17,855022.7866,855024.01,855021.63,2020-07-08T21:53:19.339Z,2020-07-08T22:42:49.305Z,49.49943333,200
18,855042.8817,855063.42,855024.03,2020-07-08T22:43:19.315Z,2020-07-08T23:32:49.247Z,49.49886667,200
19,855084.7977,855106.03,855063.84,2020-07-08T23:33:19.225Z,2020-07-09T00:22:49.183Z,49.4993,200
20,855127.7172,855149,855106.46,2020-07-09T00:23:19.171Z,2020-07-09T01:12:49.119Z,49.49913333,200
21,855170.838,855192.24,855149.44,2020-07-09T01:13:19.098Z,2020-07-09T02:02:49.056Z,49.4993,200
22,855215.007,855237.54,855192.67,2020-07-09T02:03:19.042Z,2020-07-09T02:52:48.995Z,49.49921667,200
23,855259.3438,855280.69,855237.97,2020-07-09T02:53:18.999Z,2020-07-09T03:42:48.949Z,49.49916667,200
